Date,TowerID,Place,Region,Description of change,Source,Route
2023-03-22,12356,"Blockley, S Peter & S Paul",Gloucestershire,Frame layout added,https://www.youtube.com/watch?v=8-RhK0ejkZM,
2023-03-22,10246,"Brinkley, S Mary",Cambridgeshire,PN amended,"Liz Gibson, Tower Captain #004757",
2023-03-22,17434,"Bury St Edmunds, S Mary",Suffolk,Overhaul added,Bury and Norwich Post - 15 November 1786,Neal Dodge
2023-03-22,25291,"Fishponds, S John",City of Bristol,"URL added; 1: diameter, canons amended",Nick Bowden (visited 18/03/23) #004759,
2023-03-22,16763,"Fornham St Martin, S Martin",Suffolk,New project added: rehang in new frame and augment to 8 with Keltek sourced bells,Neal Dodge,
2023-03-22,16460,"Fressingfield, S Peter & S Paul",Suffolk,Overhaul added,Norfolk Chronicle - Saturday 09 August 1817,Neal Dodge
2023-03-22,21182,"Ipsden, S Mary V",Oxfordshire,1-2: weight added,"Info from WofA (Mark Walker), Dec 2020",Chris Pickford #004760
2023-03-22,10456,"Lapley, All Saints",Staffordshire,Toilet added,"William Deason, Ringing Master #004762",
2023-03-22,22259,"Nately Scures, S Swithun",Hampshire,"Overhaul added; 1,2: hanging added","Whites of Appleton website, 2019 projects",
2023-03-22,24167,"Norwich, S George, Tombland",Norfolk,Tuning added,Recorded by Chris Richmond and analysed by Nick Bowden,
2023-03-22,22578,"Orchardleigh, The Blessed Virgin Mary",Somerset,"1: nominal, canons, hanging type added",Recording taken 21/3/2023,Bill Hibbert #004763
2023-03-22,25292,"Oxford, The Queen's College",Oxfordshire,New tower and bell details added; overhauls added,"OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England. See also Whites of Appleton website, 2018 projects and additional information provided by Mark Walker",
2023-03-22,17584,"Rotherfield Peppard, All Saints",Oxfordshire,Project added; 1-3: hanging added,"Whites of Appleton website, 2018 projects",
2023-03-22,23114,"Runnington, S Peter & S Paul",Somerset,"GF, Fr1 added; 1,2: weight, turning added","CB Som, Massey (weight, frame). Additional information provided by David Matthews from personal visit",
2023-03-22,16772,"Shotwick, S Michael",Cheshire,"Fr1: material amended, truss, layout added",Tim Jackson,
2023-03-22,16228,"Siddington, S Peter",Gloucestershire,"Fr1: truss, layout added",Malcolm Barnes from personal visit,
2023-03-22,11376,"Soham, S Andrew",Cambridgeshire,"Fr1: maker added, date amended;",The Bury and Norwich Post 02 Mar 1808 https://www.newspapers.com/clip/121255674/soham-rehanging/,Neal Dodge
2023-03-22,15733,"Stanton St John, S John Bapt",Oxfordshire,Overhaul added,"Whites of Appleton website, 2019 projects",
2023-03-22,14678,"Steventon, S Michael & All Angels",Oxfordshire,Project added,"Whites of Appleton website, 2019 projects",
2023-03-22,12667,"Swithland, S Leonard",Leicestershire,Overhaul added,"Whites of Appleton website, 2019 projects",
2023-03-22,13876,"Wells, Cath Ch of S Andrew",Somerset,"Hour,Quarter 1,Quarter 2: nominal added",Bells recorded 22/3/2023,Bill Hibbert #004764
2023-03-22,17275,"Wendling, S Peter & S Paul",Norfolk,"Tuning added; 1-3: nominal, note added",Recorded by Chris Richmond and analysed by Nick Bowden,
2023-03-22,11884,"Woodbury, S Swithun",Devon,Overhaul added,"Whites of Appleton website, 2019 projects",
2023-03-21,23016,"Ringstead, S Andrew",Norfolk,Frame added; changed to full circle ring,Photos on Post your Church Bell Pics FB group https://www.facebook.com/groups/776907495752727/permalink/6167937356649687/,
2023-03-20,25291,"Fishponds, S John",City of Bristol,New tower and bell details added,OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England. GAD NBR Bristol Dio. Additional information provided by Nick Bowden,
2023-03-20,10103,"Hutton Buscel, S Matthew",North Yorkshire,Overhaul description amended,"Whites of Appleton website, 2018 projects",
2023-03-20,21182,"Ipsden, S Mary V",Oxfordshire,"Overhaul added; 1,2: canons, turning, hanging added","Whites of Appleton website, 2019 projects",
2023-03-20,12651,"Landewednack, S Winwallow",Cornwall,Project added,"Whites of Appleton website, 2018 projects",
2023-03-20,21784,"Long Melford, S Catherine",Suffolk,Overhaul added,"Whites of Appleton website, 2018 projects",
2023-03-19,15278,"Ascott under Wychwood, Holy Trinity",Oxfordshire,Overhaul description amended,"Whites of Appleton website, 2018 projects",
2023-03-19,11738,"Barnham Broom, S Peter & S Paul",Norfolk,Overhaul description amended,"Whites of Appleton website, 2018 projects",
2023-03-19,11657,"Benfieldside, S Cuthbert",Durham,"Fr1, Fr2 added (Fr1 layout is two pits side-by-side)",Stephen Bean from local knowledge,
2023-03-19,10791,"Blackmoor, S Matthew",Hampshire,1-6: nominal added,Recorded by Tim Jackson and analysed by Nick Bowden,
2023-03-19,10000,"Bolton Percy, All Saints",North Yorkshire,Overhaul description amended,"Whites of Appleton website, 2018 projects",
2023-03-19,10532,"Brighton, S Peter",East Sussex,"1-5,7-9: weight amended; 6: diameter amended","Nigel Taylor's personal tuning records (cast weights given except tenor, and 6th which was a maiden)  #004750",
2023-03-19,16630,"Bugthorpe, S Andrew",East Riding of Yorkshire,"Fr1: truss, layout added","John Arthur, DAC Bells Advisor, York Diocese",
2023-03-19,15422,"Caversham, S Peter",Berkshire,2019 project added,"Whites of Appleton website, 2019 projects",
2023-03-19,16740,"Cosgrove, S Peter & S Paul",Northamptonshire,Overhaul description amended,"Whites of Appleton website, 2018 projects",
2023-03-19,10590,"Cuddesdon, All Saints",Oxfordshire,Overhaul description amended,"Whites of Appleton website, 2018 projects",
2023-03-19,19796,"East Ham, S Paul",Greater London,Fr1 added (layout is two pits side-by-side),Kye Leaver from personal visit,
2023-03-19,20741,"Heacham, S Mary",Norfolk,Sanctus: nominal added,"Nominal taken from Neil Thomas recording of 10/11/2022. The assignment of the nominal is a little speculative, see https://www.hibberts.co.uk/long-waisted-bells/ for justification",Bill Hibbert #004747
2023-03-19,12456,"Knaresborough, S John Bapt",North Yorkshire,URL amended,"Angus Dodds, Ringing Master #004743",
2023-03-18,13614,"Ipswich, S Clement",Suffolk,Ringing temporarily suspended during construction of new gallery floor,Katharine Salter,
2023-03-18,10422,"Oakley, S Nicholas",Suffolk,Frame and overhaul added,Neal Dodge,
2023-03-17,16654,"Copdock, S Peter",Suffolk,No longer ground floor,Ralph Earey,#004742
2023-03-17,16502,"Penrith, S Andrew",Cumbria,URL amended,Lucas Williams,#004745
2023-03-16,16792,"Aylsham, S Michael",Norfolk,"Project started, description amended",Ollie Watson #004724,
2023-03-16,13257,"Barton, S Peter",Cambridgeshire,PN deleted - no regular practice,Tom Ridgman #004734,
2023-03-16,14102,"Erlestoke, Holy Saviour",Wiltshire,SatNav lat/long added,Simon West #004737,
2023-03-16,17660,"Lancing, S James Less",West Sussex,Tuning added; 1-3: nominal added,JT&Co records 1934,Chris Pickford #004731
2023-03-16,21439,"Lancing, S Michael & All Angels",West Sussex,"1: nominal, note added",G&J records 1924,Chris Pickford #004732
2023-03-15,18644,"Brettenham, S Mary V",Suffolk,1: date amended,Ranald Clouston papers 1961,
2023-03-15,19542,"Dallinghoo, S Mary",Suffolk,1: bell added,Ranald Clouston papers 1968,Neal Dodge
2023-03-15,20079,"Felixstowe, S Andrew",Suffolk,2: date amended,Ranald Clouston papers 1965,Neal Dodge
2023-03-15,21444,"Landwade, Chapel of S Nicholas",Suffolk,"1-2: weight, note, nominal, canons, and turning added; 2: founder amended, year added; frame added",Ranald Clouston papers 1994,Neal Dodge
2023-03-15,17483,"Sapiston, S Andrew",Suffolk,"1-4: weight, note, nominal, canons, turning added; 4: founder & year added ; frame added",Ranald Clouston papers 1963,Neal Dodge
2023-03-14,16409,"Bishop Wilton, S Edith",East Riding of Yorkshire,Ring type amended; overhaul added; U/R deleted; 1-3: hanging amended;,John Arthur,
2023-03-14,15547,"Capenhurst, Holy Trinity",Cheshire,PN amended,"Randle Tinkler, Wirral Branch Ringing Master",
2023-03-14,15871,"Eastham, S Mary BV",Merseyside,PN added,"Randle Tinkler, Wirral Branch Ringing Master",
2023-03-14,21000,"Hook, S Mary V",East Riding of Yorkshire,"1,2: nominal, note added",Recordings taken by Andrew Aspland and analysed by Nick Bowden,
2023-03-14,13165,"Leeds, Minster Ch of S Peter",West Yorkshire,Fr1: truss added,"Jack Pease, citing Rings of Twelve encyclopaedia",
2023-03-14,10067,"Milborne St Andrew, S Andrew",Dorset,"Fr1: truss, layout added",Jack Pease from personal visit (04/Mar/2023),
2023-03-14,22195,"Morston, All Saints",Norfolk,"1: canons, turning added",Information (pictures) provided by Daniel C Stevens,
2023-03-14,22630,"Owthorne, S Matthew",East Riding of Yorkshire,Project active,David Potter #004720,
2023-03-14,13377,"Peterstone Wentloog, former ch of S Peter","Newport, Gwent, Wales",U/R deleted; no visiting bands or inexperienced ringers,"Barry Hayman, who has been leading the restoration and has coordinated with the owners",
2023-03-14,11031,"Phillack, S Felicitas",Cornwall,"Fr1: material amended; Fr1: truss, layout added","Jack Pease, citing Bellringing in Cornwall FaceBook group",
2023-03-14,14824,"Poole, S James",Dorset,PN amended,"N Hodgson, Churchwarden #004718",
2023-03-14,11336,"Rotherham, Minster Ch of All Saints",South Yorkshire,"Fr1: date, truss, layout, resultant layout added; Fr1.1 added; 5: frame number amended","Information sourced as follows:  - RW 1925/202  - https://taylorbells.co.uk/project/rotherham-south-yorkshire/ - Photo of the belfry taken post-2022 work  - Photo of the belfry taken pre-2022 work  - https://rotherhamminster.co.uk/bells - https://www.rotherhamadvertiser.co.uk/news/view,ringing-out-the-changes-as-13th-bell-is-put-in-place_43049.htm",Jack Pease
2023-03-14,11163,"Sefton, S Helen",Merseyside,Project active,David Potter #004720,
2023-03-14,12259,"Shotesham, All Saints",Norfolk,Place name amended,OS Map; ABC Gazetteer; Crockford; CHR,Tim Jackson
2023-03-14,23357,"Shotesham, S Mary",Norfolk,Disused: hanging added,Information (pictures) provided by Daniel C Stevens,
2023-03-14,16772,"Shotwick, S Michael",Cheshire,PN added,"Randle Tinkler, Wirral Branch Ringing Master",
2023-03-14,10593,"Shrewsbury, S Chad",Shropshire,"Fr1.1, Fr2A, Fr2B added; Fr1: mods, layout, resultant layout added; 1,12,6b: frame number amended","Alan Glover, local contact. See also: http://www.sacbr.org.uk/Towers/ShrewsburyStChad/ShrewsburyStChad.html",
2023-03-14,23480,"South Acre, S George",Norfolk,"Note, Fr1 added; ex1:date, founder added; 1: hanging added; 2: date, founder, hanging added","Information (including pictures) provided by Daniel C Stevens and citing CB Norfolk, l-Estrange",
2023-03-14,18018,"St Leonards, S Leonard",Buckinghamshire,Listed building attributes added,"Listed building data, downloaded 16/Dec/2022",
2023-03-14,16829,"Stafford, S Mary",Staffordshire,"6b: canons, turning amended","Additional information (clarification) provided by Andrew Nicholson, contractor",
2023-03-14,11598,"Swafield, S Nicholas",Norfolk,Ring type amended; U/R deleted; 1-4: hanging amended,Information (including pictures) provided by Daniel C Stevens. Date of conversion from ring to chime is not known,
2023-03-14,11033,"Trunch, S Botolph",Norfolk,U/R deleted; ring type amended; 1-3: hanging added,Information (including pictures) provided by Daniel C Stevens. Date of conversion from ring to chime is not known,
2023-03-14,24619,"West Somerton, S Mary",Norfolk,Overhaul added; 1: turning added,Information (including pictures) provided by Daniel C Stevens,
2023-03-14,24844,"Winchelsea, S Thomas",East Sussex,"1: canons, turning, hanging added",Information (pictures) provided by Lewis Benfield,
2023-03-13,17292,"Abercarn, S Luke","Caerphilly, Gwent, Wales",Listed building attributes added,"Listed building data, downloaded 16/Dec/2022",
2023-03-13,17652,"Aberdovey, S Peter","Gwynedd, Wales",Listed building attributes added,"Listed building data, downloaded 16/Dec/2022",
2023-03-13,17502,"Aberedw, S Cewydd","Powys, Wales",Listed building attributes added,"Listed building data, downloaded 16/Dec/2022",
2023-03-13,16198,"Adelaide, Cath Ch of S Peter","South Australia, Australia","Fr1,Fr2: truss, layout added","Jack Pease, citing archive photos from foundry showing completed frame. Fr2 Layout is as per pits A,B,C of layout 6.4",
2023-03-13,17456,"Aisthorpe, S Peter",Lincolnshire,Listed building attributes added,"Listed building data, downloaded 16/Dec/2022",
2023-03-13,17426,"Angle, S Mary","Pembrokeshire, Dyfed, Wales",Listed building attributes added,"Listed building data, downloaded 16/Dec/2022",
2023-03-13,17943,"Ardwick, S Benedict",Greater Manchester,Listed building attributes added,"Listed building data, downloaded 16/Dec/2022",
2023-03-13,17180,"Ashdown Forest, Convent of Notre Dame",East Sussex,Listed building attributes added,"Listed building data, downloaded 16/Dec/2022",
2023-03-13,17288,"Ashorne Hill, Musical Museum, Ashorne Hall",Warwickshire,Lat/Long amended; sub-place name added,"Keith Chambers, who says that the bells are/were at Ashorne Hall rather than at Ashorne Hill House, as previous indicated",
2023-03-13,17988,"Ashton by Oundle, Chapel of S Mary Magd",Northamptonshire,Listed building attributes added,"Listed building data, downloaded 16/Dec/2022",
2023-03-13,17201,"Atherstone on Stour, S Mary",Warwickshire,Listed building attributes added,"Listed building data, downloaded Dec/2021",
2023-03-13,18040,"Auckley, S Saviour",South Yorkshire,Listed building attributes added,"Listed building data, downloaded 16/Dec/2022",
2023-03-13,16249,"Bathurst, Cath Ch of All Saints","New South Wales, Australia","Note added; Service, 4-7: cast year amended","Ron Shepherd, quoting from paperwork dated 1992, prepared when the bells were being returned from Australia for overhaul by E&S. These dates accord with those shown on the Warner list prepared by Chris Pickford",
2023-03-13,16249,"Bathurst, Cath Ch of All Saints","New South Wales, Australia",Tuning added,Information taken from the Warner list prepared by Chris Pickford,
2023-03-13,14956,"Bishopstone, S Mary V",Wiltshire,Ringing is no longer suspended,Various performances published on BellBoard from 17/Apr/2022 onwards,
2023-03-13,18841,"Burstall, S Mary V",Suffolk,URL amended,Error detected by Dove Tower URL Checker.  Replacement URL determined by Tim Jackson,
2023-03-13,18855,"Burton upon Trent, Elim Pentecostal Church (formerly Christ Church)",Staffordshire,Place name amended,OS Map; ABC Gazetteer,Tim Jackson
2023-03-13,11136,"Church Stowe, S Michael",Northamptonshire,Ringing is now permitted.  Dedication service took place 12/Feb/2023,"Geoff Pullin, Daventry Branch.",
2023-03-13,13232,"Liskeard, S Martin",Cornwall,Project completed,David Potter #004714,
2023-03-13,17102,"Thurcaston, All Saints",Leicestershire,1-8: turning added,RW 10/03/23 p.229,James Hedgcock #004712
2023-03-12,14601,"Gloucester, Cath Ch of Holy & Indivisible Trinity",Gloucestershire,Disused: bell details added,Chris Pickford. This bell is from Little Washbourne,
2023-03-12,16847,"Great Missenden, S Peter & S Paul",Buckinghamshire,URL amended,Error detected by Dove Tower URL Checker.  Replacement URL determined by Tim Jackson,
2023-03-12,12107,"Ottershaw, Christ Church",Surrey,1-6: nominal added,Bells recorded 11/3/2023,Bill Hibbert #004705
2023-03-12,11903,"Rochford, S Andrew",Essex,Ellacombe added,Theo Johnson,#004708
2023-03-12,10587,"Scotter, S Peter",Lincolnshire,1-6: turning added,Visit,James Hedgcock #004702
2023-03-12,10014,"Southport, Christ Church",Merseyside,1-7: nominal added,Nigel Taylor's personal tuning records #004700,
2023-03-12,16829,"Stafford, S Mary",Staffordshire,"Frames added; Note added; Some weights, dimensions, canons amended; 1-12, 6b: turning added","Andrew Nicholson, contractor. Additional information provided by Nigel Horritt, local contact and Dave Kelly, Keltek Trust",
2023-03-12,12104,"Westhorpe, S Margaret",Suffolk,Project to rehang the bells and augment to 6,Neal Dodge,
2023-03-12,11314,"Weybridge, S James",Surrey,1-8: nominal added; 1-8: note amended,Bells recorded 11/3/2023,Bill Hibbert #004704
2023-03-11,14033,"Farnborough, S Giles",Greater London,Frame details revised,"Dickon R Love, visit 11 Mar 2023",
2023-03-10,17180,"Ashdown Forest, Convent of Notre Dame",East Sussex,Lat/Long amended,Tim Jackson,
2023-03-10,17288,"Ashorne Hill, Musical Museum, Ashorne Hall",Warwickshire,Place name amended; Lat/Long amended,OS map,Tim Jackson
2023-03-10,16381,"Augusta, The Good Shepherd","Georgia, United States of America",PN added,"Maurice Boardman, local ringer and Jim Nord, ringing master #004695",
2023-03-10,11245,"Backwell, S Andrew",Somerset,Postcode amended,Neil Skelton from personal visit,
2023-03-10,11169,"Barnes, S Mary",Greater London,"Service, 6-8: canons added",Dylan Thomas (visited 3-3-23) #004681  #004682,
2023-03-10,17731,"Brimscombe, Holy Trinity",Gloucestershire,"1,2,4: nominal amended; 3: nominal added",Chris Pickford from the Taylors archive,
2023-03-10,19074,"Charlton Kings, Holy Apostles",Gloucestershire,"1: weight, diameter, canons, turning, hanging added","Chris Pickford from the Taylors archive. Additional information provided by Andy Marchant from personal visit and taken from CB Glos, Bliss and Sharpe",
2023-03-10,10237,"Chichester, Cath Ch of Holy Trinity",West Sussex,"Fr9C: material, truss, layout added",Kye Leaver from personal visit,
2023-03-10,13283,"East Harptree, S Laurence",Somerset,"Project completed; Fr1: truss, layout added; 1-6: nominal, turning added; 1-6: note, diameter amended",Andrew Nicholson,
2023-03-10,23056,"Roffey, All Saints",West Sussex,Ring type amended,Kye Leaver  #004692,
2023-03-10,16829,"Stafford, S Mary",Staffordshire,New ring of 12 created from the 10 bells from Hanley and a bell from the former 11 bell chime as the flat 6th. Try out 7 Mar 2023. Visitors are asked to make contact before setting out and to see their website for further details.,"Nigel Horritt, David Kelly",
2023-03-10,14744,"Walthamstow, S Mary",Greater London,"1947, 1961 overhauls added",Lucas Owen #004683,
2023-03-10,13876,"Wells, Cath Ch of S Andrew",Somerset,"Q1,Q2: weight, diameter, canons amended; Q1,Q2: turning added; 1-: canons added. Q1: frame number added. Quarter Jack bells conserved, cleaned and rehung by Matthew Higby & Co Ltd, March 2023. Revised weights and diameters and canon info",#004685,
2023-03-09,16789,"Stoodleigh, S Margaret",Devon,Cracked treble now removed to foundry,David Potter,#004689
2023-03-08,19796,"East Ham, S Paul",Greater London,"1-2: canons, hanging type added",L J Owen - Mar 2023 #004680,
2023-03-08,12128,"Hyde, S George",Greater Manchester,PN amended,"Margaret Shuttleworth, Tower Captain #004546",
2023-03-08,10587,"Scotter, S Peter",Lincolnshire,"Fr1: date amended; Fr1: material, truss, layout added",Peter Hayward,
2023-03-08,14323,"Siston, S Anne Mother of BVM",Gloucestershire,4th cracked,David Matthews and David Kelly,
2023-03-08,14340,"Slapton, Holy Cross",Buckinghamshire,"New 1: weight, diameter amended; New 3: note amended",Tim Jackson,
2023-03-08,16749,"South Wraxall, S James",Wiltshire,"Fr1: date, maker, material, truss, layout added",Matthew Higby,
2023-03-08,23829,"Stone Cross, S Luke",East Sussex,1: turning amended,Kye Leaver from personal visit,
2023-03-08,14407,"Thirsk, S Mary V",North Yorkshire,Fr1: maker amended,Tim Jackson,
2023-03-08,11264,"Wangaratta, Cath Ch of Holy Trinity","Victoria, Australia",Tuning year added,Nigel Taylor (ex-WBF),
2023-03-08,13500,"West Pennard, S Nicholas",Somerset,Fr1: maker added,Matthew Higby,
2023-03-08,16773,"Whipsnade, S Mary Magd",Bedfordshire,Toilet added,Lynda Lazzerini from personal visit,
2023-03-08,24883,"Wintringham, S Peter",North Yorkshire,Tuning added,Analysis of NBR nominals,
2023-03-08,14911,"Wookey, S Matthew",Somerset,Fr1: maker added,Matthew Higby,
2023-03-07,15278,"Ascott under Wychwood, Holy Trinity",Oxfordshire,"Fr1: year, maker amended",Chris Pickford from personal records,
2023-03-07,11365,"Bath, Abbey Ch of S Peter & S Paul",Somerset,"Fr1A, Fr1B: maker added",Matthew Higby,
2023-03-07,14344,"Blymhill, S Mary",Staffordshire,Tuning added; 1-3: note amended; Sanctus: note added,Recorded and analysed by Stuart Hutchieson,
2023-03-07,17731,"Brimscombe, Holy Trinity",Gloucestershire,"1,2,4: nominal added",Recorded and analysed by Andy Marchant,
2023-03-07,11762,"Chicago, Mitchell Tower, University of Chicago","Illinois, United States of America",1-10: nominal added,"Recorded by Tom Farthing, local contact, analysed by Nick Bowden",
2023-03-07,13778,"Clyffe Pypard, S Peter",Wiltshire,Fr1: maker added,Matthew Higby,
2023-03-07,25208,"Great Yarmouth, S James",Norfolk,Bell transferred; 1: cast year amended,Paul Cubitt,
2023-03-07,21032,"Horsehouse, S Botolph",North Yorkshire,Fr1 added,See: http://www.riponandleedsbells.org.uk/horsehouse.htm,Tim Jackson
2023-03-07,25289,"Kempley, S Mary",Gloucestershire,New tower and bell details added,"OS Map; ABC Gazetteer; CHR; StreetMap; Historic England. See also: https://www.english-heritage.org.uk/visit/places/st-marys-church-kempley/. Andy Marchant from personal visit. Additional information taken from GAD NBR (Gloucester Dio) and CB Glos, Bliss and Sharpe",
2023-03-07,15110,"Limerick, Cath Ch of S Mary","Limerick, Republic of Ireland",Fr1: maker added,Matthew Higby,
2023-03-07,25290,"Little Washbourne, S Mary",Gloucestershire,New tower and bell details added,OS Map; ABC Gazetteer; CHR; StreetMap; Historic England. See also: https://www.visitchurches.org.uk/visit/church-listing/st-mary-little-washborne.html Chris Pickford. Additional information provided by Andy Marchant from personal visit and GAD NBR (Worcester Dio). Recorded and analysed by Andy Marchant.,
2023-03-07,12282,"Patrixbourne, S Mary",Kent,1-3: nominal added,"Recorded by Jake Reid, analysed by Nick Bowden",
2023-03-07,22854,"Prestbury, S Nicholas",Gloucestershire,"1: weight, nominal, note, canons, turning, hanging added; 1: diameter amended","Chris Pickford from the Taylors archive. Additional information provided by Andy Marchant from personal visit and taken from CB Glos, Bliss and Sharpe",
2023-03-07,22871,"Prestonville, S Luke",East Sussex,"1: weight, note added",Nick Bowden. Recordings taken and analysed by Kye Leaver,
2023-03-06,14127,"Adwick le Street, S Laurence",South Yorkshire,Two bells out of action,Jay Downes  #004658,
2023-03-06,17994,"Ashton on Ribble, S Michael & All Angels",Lancashire,1: nominal added,Bell recorded 4/3/2023,Bill Hibbert #004667
2023-03-06,16487,"East Garston, All Saints",Berkshire,"1-5: weight amended; 2-6: nominal amended; 1: nominal added; 5-6: diameter amended; 2-3: turning amended; 1,4-6: turning added",WOA data,Mark Walker #004657
2023-03-06,14371,"Honolulu, Cath Ch of S Andrew","Hawaii, United States of America","1-8: nominal added; 1-3,7: diameter amended; 1-8: turning amended",Nigel Taylor's personal tuning records #004672,
2023-03-06,21036,"Horsham, Holy Trinity",West Sussex,"1: weight, diameter, cast year, founder, canons added; 1: nominal amended",Nigel Taylor's personal tuning records #004669,
2023-03-06,15686,"Myton on Swale, S Mary",North Yorkshire,"Fr1: truss added; material, layout amended",John Arthur #004665,
2023-03-06,22871,"Prestonville, S Luke",East Sussex,"Fr1 added; 1: nominal, canons, turning, hanging type added",Kye L Leaver & Dylan J Thomas (visited 24/02/2023) #004635,
2023-03-06,10472,"Saltaire, United Reformed Ch",West Yorkshire,1-6: turning added,Visited by James Hedgcock #004654,
2023-03-06,11991,"Tottenham, All Hallows",Greater London,1-8: turning added,"Guy Wells, local contact",
2023-03-06,14207,"Wiggenhall St Mary Magdalen, S Mary Magd",Norfolk,1-6: turning added,"John Anderson, Tower Captain",James Hedgcock
2023-03-02,15657,"Tewkesbury, Abbey Ch of S Mary V",Gloucestershire,Treble now rehung. Project complete.,Matthew Higby,#004656
2023-02-28,17804,"Abinger, S James",Surrey,4-6: nominal added,Bill Hibbert,#004651
2023-02-28,18168,"Bassenthwaite, S Bega",Cumbria,Frame added,https://www.alamy.com/the-north-side-of-the-parish-church-of-st-bega-bassenthwaite-lake-image9061907.html,
2023-02-28,23328,"Sheviock, Blessed Virgin Mary",Cornwall,GF added,https://bb.ringingworld.co.uk/view.php?id=1522804,Colin Turner #004652
2023-02-28,15657,"Tewkesbury, Abbey Ch of S Mary V",Gloucestershire,Treble to be rehung,Matthew Higby,#004649
2023-02-27,24121,"Albury, S Helen",Oxfordshire,"Place name amended, sub-place name added; overhaul added","OS Map; ABC Gazetteer; Crockford; CHR and Whites of Appleton website, 2014 projects.",
2023-02-27,13427,"Barnard Castle, S Mary V",Durham,"1911 Overhaul added, 1952 Overhaul description added",Bells of the North-East of England website,
2023-02-27,13622,"Beaudesert, S Nicholas",Warwickshire,PN added,Tower secretary,Mike Chester #004613
2023-02-27,14344,"Blymhill, S Mary",Staffordshire,"Fr1: truss amended, layout added; 1-3: nominal, turning added; Sanctus: nominal, canons, turning, hanging added",Stuart Hutchieson (visited 22 Feb 2023) #004615  #004616,
2023-02-27,16074,"Calverley, S Wilfrid",West Yorkshire,PN amended,"Maurice Calvert, ringing master #004628",
2023-02-27,15226,"Darlington, S Cuthbert",Durham,Fr1: layout added,https://www.facebook.com/StCuthbertsChurchDarlington/photos/a.1525743417669209/2690672661176273/,
2023-02-27,13269,"Eastrington, S Michael",East Riding of Yorkshire,SatNav lat/long added,Sam Austin #004619,
2023-02-27,16121,"Great Parndon, S Mary",Essex,1-6: nominal added,Nigel Taylor's personal tuning records #004640,
2023-02-27,20618,"Hanwell, S Mellitus",Greater London,Frame added,https://upload.wikimedia.org/wikipedia/commons/5/56/StMellitusHanwell.jpg,
2023-02-27,14165,"Henley in Arden, S John Bapt",Warwickshire,PN added,Tower secretary,Mike Chester #004614
2023-02-27,14371,"Honolulu, Cath Ch of S Andrew","Hawaii, United States of America",1-8: turning added,Local ringer,James Hedgcock #004624
2023-02-27,15107,"Horsham, S Mary V",West Sussex,Ringing suspended - 4th bell broken,Stephen Pocock #004637,
2023-02-27,25279,"Ickworth, S Mary",Suffolk,"New tower, frame and bell details added; overhaul added","OS Map; ABC Gazetteer; CHR; StreetMap and Whites of Appleton website, 2014 projects",
2023-02-27,10686,"Idle, Holy Trinity",West Yorkshire,All ringing is by arrangement only,Maurice Calvert (Calverley ringing master) #004628,
2023-02-27,16588,"Ilkley, All Saints",West Yorkshire,1-8: turning added,"Roger Waddington, steeplekeeper #004644",James Hedgcock
2023-02-27,17276,"Little Barrington, S Peter",Gloucestershire,Overhaul added,Andy Marchant from personal records. Additional information provided by Tim Jackson from personal visit (2006). See also Dove De-Listed Threes list,
2023-02-27,21666,"Little Hampden, no dedication",Buckinghamshire,Overhaul added; 1: hanging added,"Whites of Appleton website, 2017 projects",
2023-02-27,16568,"Llandrillo yn Edeyrnion, S Trillo","Denbighshire, Clwyd, Wales",1-4: turning added,"David Robinson, contact",James Hedgcock #004623
2023-02-27,13408,"Long Riston, S Margaret",East Riding of Yorkshire,Overhaul description amended,"Whites of Appleton website, 2017 projects",
2023-02-27,13621,"Mackworth, All Saints",Derbyshire,Bells in store flag set,Tim Jackson,
2023-02-27,21915,"Maidenhead, S Luke",Berkshire,Overhaul added,"Whites of Appleton website, 2015 projects",
2023-02-27,17560,"Manorbier, S James","Pembrokeshire, Dyfed, Wales",Overhaul description amended; ring type amended; 1-3: hanging added,"Whites of Appleton website, 2013 projects",
2023-02-27,17665,"Notgrove, S Bartholomew",Gloucestershire,"Overhauls, GF, tuning, Fr1, Fr2 added; 1-3: canons, turning, hanging added; 1-2: note added; 1: founder amended","Chris Pickford’s Bond of Burford list. Andy Marchant from personal records. See also RW 3976 p618. See also CB Glos, Bliss and Sharpe",
2023-02-27,22516,"Nympsfield, S Bartholomew",Gloucestershire,Overhaul added; ring type amended; 1: hanging amended,"Andy Marchant from personal records. See also Whites of Appleton website, 2018 projects",
2023-02-27,17523,"Old Milverton, S James",Warwickshire,Ellacombe added,"Whites of Appleton website, 2013 projects",
2023-02-27,12282,"Patrixbourne, S Mary",Kent,"Tuning added; 1-2: weight, note added; 3: note amended",Sourced weights and diameters from Love's Guide. Recordings taken by Jake Reid and analysed by WavAnal,Jake Reid #004625
2023-02-27,22687,"Pauntley, S John Ev",Gloucestershire,"Overhaul, GF, ropes, tuning, Fr1 added; 1-3: note, weight, canons, hanging added","Andy Marchant from personal records and CB Glos, Bliss and Sharpe",
2023-02-27,17620,"Preston, All Saints",East Riding of Yorkshire,Overhaul description amended,"Whites of Appleton website, 2014 projects",
2023-02-27,23026,"Rivenhall, S Mary V & All Saints",Essex,Overhaul added; 1: hanging added,"Whites of Appleton website, 2011 projects",
